"Root","Project","Top","RelativePath","FileName","Bytes","Modified","HeadingSample","HasPRD","HasRoadmap","HasFinance","HasDesign","HasArchitecture","HasLegalRisk"
"Voyager","_raiz_voyager","Clasificacion_Proyectos.md","Clasificacion_Proyectos.md","Clasificacion_Proyectos.md","4643","2026-03-26 04:41","🗂️ Clasificación Maestra del Ecosistema Voyager || 🖥️ Sistemas Operativos, Interfaz y UX || 🤖 Inteligencia Artificial, Asistencia y Productividad || 🩺 Salud, Bienestar y Soporte Humano || 🎮 Videojuegos y Exploración Lúdica || 📖 Literatura, Worldbuilding y Universo Expandido || 📂 Utilidades Diversas, Música y Hardware","0","0","1","1","0","1"
"Voyager","_raiz_voyager","08_11_Otros_Proyectos_Master.md","08_11_Otros_Proyectos_Master.md","08_11_Otros_Proyectos_Master.md","905","2026-03-26 04:36","🍳 Gastronomía - Master Doc (Categoría 08) || Proyectos Identificados: || 🌐 Extensiones Google Chrome - Master Doc (Categoría 09) || Proyectos Identificados: || 📚 Ebooks - Master Doc (Categoría 10) || Proyectos Identificados: || 📁 A Proyectos Pequeños - Master Doc (Categoría 11) || Proyectos Identificados:","0","0","0","1","1","0"
"Voyager","_raiz_voyager","AUDITORIA_INTEGRAL_VOYAGER.md","AUDITORIA_INTEGRAL_VOYAGER.md","AUDITORIA_INTEGRAL_VOYAGER.md","49474","2026-04-16 12:55","🌌 AUDITORÍA INTEGRAL: PROYECTOS VOYAGER || 📊 Resumen Ejecutivo || Estado General del Ecosistema || Categorías del Ecosistema || 📂 DETALLE POR PROYECTO || 🖥️ CATEGORÍA 01: SOFTWARE DESKTOP (27 Proyectos) || 01 — Quick Look App ⚡ || 02 — ComedyClick 👽","1","1","1","1","1","0"
"Voyager","04_Musica_Y_Videojuegos_Master.md","04_Musica composicion","04_Musica composicion\04_Musica_Y_Videojuegos_Master.md","04_Musica_Y_Videojuegos_Master.md","1646","2026-03-26 04:36","🎵 Música y Composición - Master Doc (Categoría 04) || 01 | Música Daniel 🎹 || 🎮 Videojuegos - Master Doc (Categoría 05) || 01 | Coraline 🗝️ || 02 | Die Rabbits Die 🐰 || 03 | Hot Dog Hero! 🌭 || 04 | Kaetso ⚔️ || 05 | La Chica y el Zorro 🦊","0","0","0","1","0","0"
"Voyager","sociedad unova","sociedad unova","sociedad unova\RESPONSABILIDADES_Y_PERFIL_FALTANTE_SOCIEDAD.md","RESPONSABILIDADES_Y_PERFIL_FALTANTE_SOCIEDAD.md","17549","2026-05-13 23:11","RESPONSABILIDADES Y PERFIL FALTANTE: SOCIEDAD UNOVA || Diseno operativo para comunicacion, ejecucion y gobernanza del equipo || 1. Diagnostico central || 2. Por que falta este perfil || Daniel no debe cubrirlo || Oliver no debe cubrirlo || David no debe cubrirlo || Daniel y David viven juntos","1","0","1","1","0","1"
"Voyager","sociedad unova","sociedad unova","sociedad unova\RECTIFICACION_RESULTADOS_SOCIEDAD.md","RECTIFICACION_RESULTADOS_SOCIEDAD.md","26257","2026-05-13 23:18","RECTIFICACION DE RESULTADOS: SOCIEDAD UNOVA || Cruce de coherencia entre perfiles, roles, riesgos, producto y gobernanza || 1. Veredicto general rectificado || 2. Daniel: resultados confirmados y rectificados || Confirmado || Rectificacion necesaria || Riesgo real || 3. Oliver: resultados confirmados y rectificados","1","1","1","1","1","1"
"Voyager","06_07_Juegos_Master.md","06_Juegos de mesa","06_Juegos de mesa\06_07_Juegos_Master.md","06_07_Juegos_Master.md","1976","2026-03-26 04:36","🎲 Juegos de Mesa - Master Doc (Categoría 06) || 01 | Dragon Alebrije 🐉 || 02 | The Good Liar 🃏 || 03 | Titanes 🏛️ || 🌌 Unova Games - Master Doc (Categoría 07) || 01 | Obsidian 🌑 || 02 | Hot Dog Hero! (Unova Edition) 🌭 || 03 | Icons 🖼️","0","0","0","1","0","0"
"Voyager","_raiz_voyager","pryectos","pryectos\Bienvenido.md","Bienvenido.md","204","2026-05-15 22:42","","0","0","0","0","0","0"
"Voyager","TABULADOR_DESARROLLO.md","01_software","01_software\TABULADOR_DESARROLLO.md","TABULADOR_DESARROLLO.md","4952","2026-03-28 02:37","Tabulador de Desarrollo Real (01_software) || 📊 Resumen Ejecutivo || 🏆 TIER 1: Desarrollos Activos (> 1,000 archivos de código) || 🛠️ TIER 2: Prototipos / R&D (1 - 999 archivos de código) || 👻 TIER 3: Esqueletos Temporales (0 archivos de código) || 🎯 Conclusión y Recomendación","1","1","0","1","1","0"
"Voyager","RADIOGRAFIA_PROYECTOS_ACTIVOS.md","01_software","01_software\RADIOGRAFIA_PROYECTOS_ACTIVOS.md","RADIOGRAFIA_PROYECTOS_ACTIVOS.md","24965","2026-03-28 03:09","RADIOGRAFÍA DE DESARROLLO REAL — PROYECTOS ACTIVOS (01_software) || ÍNDICE || 15_PROYECTIA || Descripción del Concepto || Estado REAL del Código (Lo que existe HOY) || Archivos Adicionales || Score de Madurez Técnica || Stack Detectado","0","0","0","1","1","0"
