"Root","Project","Docs","Bytes","PRD","Roadmap","Finance","Design","Architecture","LegalRisk","Recent","KeyDocs","HeadingSample"
"C_DEV","21_Pixvoxia","13","32974","4","5","0","13","7","2","2026-04-29 10:05","21_Pixvoxia\Pixvoxia documentacion\ios_creative_engine_prd.md | 21_Pixvoxia\iOS_App_Blueprint\ios_creative_engine_prd.md | 21_Pixvoxia\Pixvoxia documentacion\optimizacion_flujos_pivoxia.md | 21_Pixvoxia\iOS_App_Blueprint\optimizacion_flujos_pivoxia.md | 21_Pixvoxia\Pixvoxia documentacion\analisis_maquetado_pivoxia.md | 21_Pixvoxia\iOS_App_Blueprint\analisis_maquetado_pivoxia.md | 21_Pixvoxia\Pixvoxia documentacion\ios_studio_data_foundation.md | 21_Pixvoxia\iOS_App_Blueprint\ios_studio_data_foundation.md","Pixvoxia Canvas Pro - Design Systems & Skills || 🚀 Arquitectura Técnica || 🛠️ Sistemas de Interacción (Skills Implementadas) || 1. ThumbZone Left: Motor de Herramientas Radial || 2. ThumbZone Right: Matriz 4x5 & Gestos || 3. Dynamic Island: Copic Color Wheel || 💎 Estética & Visuales (Ultra-Fidelity) || 📋 Roadmap de Desarrollo || Diccionario de Funciones y Componentes: Pixvoxia || 1. Mapeo de Nodos Laterales (Thumb-Driven) || 2. Botones de Control Maestro (Top Zones) || 3. Casillas y Características de Control (Contextuales) || 3.1 Sliders Neumórficos || 3.2 Casillas de Verificación (Toggles) || 4. Comportamiento de la Dynamic Island || Análisis Técnico: Maquetado Base de Pixvoxia || 1. Resumen Ejecutivo || 2. Desglose de Componentes y Lógica || 2.1 Motor de Interacción ""Thumb-Ring"" || 2.2 Sistema de Canvas ""Precision Canvas"" || 2.3 Mecánica de Intercambio (Swap) || 3. Brechas Técnicas (Hacia la V3 Industrial) || 4. Conclusión de Ingeniería || DATA FOUNDATION: iOS Game Dev Studio || [DATA SHEET 1] Apple Silicon & Metal Reference (A17 Pro / A18) || [DATA SHEET 2] Ergonomics Matrix: Dual Thumb Touch Zones || [DATA SHEET 3] Export & Pipeline Standards || [DATA SHEET 4] Voxel-to-Poly Meshing Algorithms || [DATA SHEET 5] Infinite Canvas Data Structure (Chunks) || PRD: iOS Spatial Creative Engine (Voxel/Pixel Art) - V3 Industrial Grade (Pixvoxia) || 1. Visión del Producto || 2. Arquitectura Técnica de Alto Rendimiento || 3. Experiencia de Usuario (UX) e Interface (UI) || 3.1 Ergonomía de Doble Pulgar (Sistema de 6 Nodos) || 3.2 Dynamic Island (Pantone & Environment Engine) || 5. Especificaciones de Componentes Validados (Canvas Phase) || 5.1 Dynamic Island: Pantone Industrial Hub"
"C_DEV","app vivo","70","402421","16","33","10","70","25","33","2026-06-13 03:13","app vivo\MASTER_AUDIT_RECOVERY.md | app vivo\docs\CURRENT_STATE_FULL_AUDIT.md | app vivo\docs\IMPLEMENTATION_STATUS.md | app vivo\docs\MASTER_REVIEW_CHECKLIST.md | app vivo\docs\PERFORMANCE_AND_CODE_HEALTH_AUDIT.md | app vivo\docs\DESIGN_SYSTEM_ORIGIN_VIVO.md | app vivo\docs\PLAN_A_WIDGET_SHORTCUTS_VERIFICATION.md | app vivo\docs\UX_RESPONSIVE_AUDIT.md","TECH_STACK.md || 1. Resumen tecnico || 2. Comandos del proyecto || 3. Restricciones tecnicas || 4. Notas Android confirmadas || 5. Kotlin native migration || Roadmap de Funcionalidades Pendientes || Prioridad 0 (P0): Exportación e Integridad de Datos || Prioridad 1 (P1): Optimización y Balance de Métricas || Prioridad 2 (P2): Historial Expandido y Reportes || Vivo Promotor || Estado actual || Lo más importante de 0.3.0 || Capturas || Stack || Comandos principales || Estructura || Documentación clave || QA Checklist Ejecutable || 1. Validación de Entorno y Precondiciones || 2. Happy Path de Registro de Ventas || 3. Catálogo (Vista Única Bento) || 4. El Puerquito (Alcancía Neumórfica) || 5. Calendario (Unidades y Jornadas) || 6. Persistencia y Casos de Borde || Project Brief: Cellular Sales & Commissions Tracker || Descripción || Objetivo Principal || Stack Tecnológico || Estado Actual || Riesgos Actuales Reales || Próximo Paso Recomendado"
"C_DEV","Desarrollo CV borderlands3","51","360999","3","25","5","47","32","16","2026-06-12 14:07","Desarrollo CV borderlands3\CV 2026\resumenchatgpt.md | Desarrollo CV borderlands3\CV 2026\claude.md | Desarrollo CV borderlands3\CV 2026\Resumen_Consolidado.md | Desarrollo CV borderlands3\UnibeLands-3\video\design.md | Desarrollo CV borderlands3\UnibeLands-3\comportamiento.md | Desarrollo CV borderlands3\UnibeLands-3\unibelands3\unibelands-3\docs\visual\VISUAL_EXECUTION_LOG.md | Desarrollo CV borderlands3\UnibeLands-3\unibelands3\unibelands-3\docs\09_DEPLOYMENT_READINESS_AUDIT.md | Desarrollo CV borderlands3\CV 2026\CV definitivo 2027\00_CV_Maestro_Interno.md","TRANSCRIPCIÓN — Anti-Villano || LETRA CON TIMESTAMPS || ESTRUCTURA MUSICAL || CRONOLOGÍA CINEMÁTICA (MOTOR REMOTION) || [ 00.0s — 14.7s ] > FASE 0: PREPARACIÓN || [ 14.7s — 20.0s ] > FASE 1: IMPACTO INICIAL || [ 20.0s — 40.0s ] > ZONA DE VACÍO TÁCTICO (DARK ZONE) || [ 40.0s — 60.0s ] > FASE 2: EL GRAN REVELADO (CLÍMAX) || MAPA DE SINCRONÍA ESTÉTICA — ANTI-VILLANO || NOTAS TÉCNICAS DE PULIDO: || GUION NARRATIVO — ""ANTI-VILLANO"" || Videoclip Musical / Opening Cinemático / Estilo Borderlands 3 + Obsidian Glass || CONCEPTO CENTRAL || SECUENCIAS || SEC 1 — INTRO MIXTA (Disclaimer + Typography) (0s - 14s) || [EN RE-INTEGRACI�N] SEC 2 — LA FÁBRICA DESPIERTA (14s - 27s) || ⚙️ IMPLEMENTACIÓN TÉCNICA (Remotion) || ANTI-VILLANO — DESIGN SYSTEM v1.0 || Visual Language · Comic Onomatopoeia · Industrial Noir · Cel-Shading Interface || 0. FILOSOFÍA CENTRAL || El triángulo de inspiración || Resultado: lo que SÍ somos || 1. PALETA DE COLOR || 1.1 Colores primarios — ""El expediente"" || 1.2 Combinaciones de uso || unibelands-3 || Stack || Requisitos || Comandos || Desarrollo local || Estructura || Notas"
"C_DEV","desarrollo web unova games studio","9","50159","3","3","3","9","4","5","2026-05-24 10:30","desarrollo web unova games studio\unovagames_dossier\sources_full\16-1-6-__Unova_Marca_y_Estilo.md | desarrollo web unova games studio\unovagames_dossier\40_IDENTITY_AND_DESIGN.md | desarrollo web unova games studio\unovagames_dossier\50_WEBSITE_BRIEF.md | desarrollo web unova games studio\unovagames_dossier\90_SOURCES.md | desarrollo web unova games studio\unovagames_dossier\10_BRAND_AND_NAMING.md | desarrollo web unova games studio\unovagames_dossier\00_INDEX.md | desarrollo web unova games studio\unovagames_dossier\20_WEB_ASSETS.md | desarrollo web unova games studio\unovagames_dossier\README.md","Website Brief — Unova (marca madre) / Unova Games (línea) || 1) Identidad (qué es Unova) || 2) Naming (regla operacional para la web) || 3) Dirección estética (tres señales que existen en Drive) || 4) Tokens (starter kit para CSS) || Opción A (más alineada a las landings): Dark premium || Opción B (design system ANTI‑VILLANO): Industrial Noir cel‑shaded || Opción C (DESIGN_TOKENS “libreta × IA”): Paper / neural gold || Identidad + Diseño — Unova / Unova Games (recopilación) || 1) ¿Qué es Unova (según archivos fuente)? || Unova Games como “vertical” de entretenimiento (Voyager) || Unova Games como “cuartel general de marca” || 2) Naming: marca madre y sistema de sub‑marca || 3) Piezas web que comunican identidad (lo que ya existe) || Señales visuales recurrentes (de los HTMLs) || 4) Sistema de diseño encontrado (documentos “design”) || Web assets (HTML) — inventario y notas || Archivos identificados (Drive) || 1) `unova-website.html` (high level) || 2) `unova-hero-section (3).html` || 3) `unova.html` || Brand & Naming — Unova / Unova Games || 1) Documento rector del directorio (operación) || 2) Naming: marca madre + sublíneas || 3) Paleta / estética (lo que quedó escrito) || 4) Descripción del estudio (visión general) || Índice y mapa (Unova / Unova Games) || 1) Identidad / propósito (alto nivel) || 2) Naming / arquitectura de marca || 3) Activos web || 4) Legal / presupuestos || 5) Próximas pasadas recomendadas (para completar)"
"C_DEV","Ethyria","29","261060","2","16","0","27","25","6","2026-05-24 07:36","Ethyria\Ethyria\docs\04-FRONTEND-REACT-TS.md | Ethyria\Ethyria\docs\03-BACKEND-RUST-TAURI.md | Ethyria\Ethyria\docs\07-OS-COMMANDS.md | Ethyria\Ethyria\docs\06-AUDIO-PIPELINE.md | Ethyria\Ethyria\docs\05-AI-BRAIN.md | Ethyria\Ethyria\ethyria-app\DESIGN.md | Ethyria\Ethyria\docs\01-ARCHITECTURE.md | Ethyria\Ethyria\docs\video_analysis.md","ETHYRIA_STATE_OF_TRUTH.md || 1) Implementado y verificado || Backend (Tauri/Rust) || Documentación || 2) Implementado pero NO verificado || Frontend (React/Vite/TS) || 3) Diseñado / prompt listo / pendiente de implementar (o cerrar) || Chatterbox (TTS local) || ETHYRIA_IMPLEMENTATION_STATUS_LOCK.md || 1) Build status (Frontend) || 2) Rust cargo check status (Backend) || 3) Features reales (observables hoy) || 4) Features parciales || 5) Features solo planeadas || 6) Errores bloqueantes || 7) Próxima intervención mínima (recomendada) || Tauri + React + Typescript || Recommended IDE Setup || ETHYRIA SAMANTHA — DESIGN SYSTEM DOCUMENT || Estética Visual Completa · Filosofía · Composición · Interacción || PARTE I: FILOSOFÍA VISUAL || 0. El Concepto Fundador || 1. Tres Pilares Estéticos || PARTE II: COMPOSICIÓN VISUAL || 2. Sistema de Capas || 3. Eje Vertical — ""Centro de Gravedad"" || Ethyria Voice Pipeline || 1. Flujo actual || 2. Proveedores actuales || 3. Proveedor futuro (no integrado) || 4. Estados recomendados || 5. Errores comunes || 6. Checklist manual"
"C_DEV","ethyria-app","8","48510","3","6","1","7","7","4","2026-05-26 12:33","ethyria-app\CODEX_GUARDRAILS.md | ethyria-app\ETHYRIA_STATE_OF_TRUTH.md | ethyria-app\ARCHITECTURE.md | ethyria-app\design.md | ethyria-app\AGENTS.md | ethyria-app\TECH_STACK.md | ethyria-app\README.md | ethyria-app\tts-server\voices\README.md","Kokoro Voices (Local) || TECH_STACK.md || 1. Resumen tecnico || 2. Comandos del proyecto || 3. Dependencias principales || 4. Convenciones || 5. Restricciones tecnicas || 6. Decisiones activas || Decision tecnica #1 || Tauri + React + Typescript || How To Run Ethyria Locally (MVP) || Quick Diagnostics || Smoke Test || Estado MVP RC interno || Recommended IDE Setup || Ethyria State of Truth || Estado actual || Regla de rutas || Ollama config (opcional) || Checklist manual STT/Mic || Dictamen || Ultimo bug corregido || Release Candidate checklist || Ethyria Design System Specification (ambient OS — v3.1) || 1. Filosofía de Diseño || 2. Capas de Fondo (modelo explícito de 3 capas) || Ventana Principal || Barra de Título || Menús y Diálogos || Entrada de Texto || 3. Paleta Cromática (Tokens)"
"C_DEV","julia","89","1803063","23","54","10","84","60","34","2026-06-14 07:10","julia\datos viejos\01_Documentacion\componentes_julia.md | julia\datos viejos\01_Documentacion\LICENSE.md | julia\1JuliaDEV\CODEX_GUARDRAILS.md | julia\1JuliaDEV\design.md | julia\datos viejos\01_Documentacion\1-36-5-Evaluaci_n_tipogr_fica_logo.md | julia\Recursos_Originales_y_Chats\Claude- ⭐ Revisión y análisis de archivo.md | julia\Julia Mars\Claude-🌎Julia mars .md | julia\datos viejos\01_Documentacion\⭐⭐⭐ Julia Master.md","🎨 Especificaciones de Feature: UI/UX, Navegación y Secciones || 1. Portal de Inicio (Dashboard) || 2. Motor de Búsqueda Contextual || 3. Secciones Principales y Biblioteca || 3.1 Sección ""Descubre"" || 3.2 Librería General || 4. El Editor (Sección de Redacción) || 🛰️ Especificaciones de Feature: Satélites y Red Social de Conocimiento || 1. El Concepto de Satélites || 1.1 Emisión de Satélites Propios (Broadcasting) || 1.2 Privacidad || 2. Red Social y Captura Gravitacional || 2.1 Suscripción a Satélites || 2.2 Consumo e Interacción || Integración de Arquitectura: La Red Social de Conocimiento ""Julia"" || 1. El Concepto Central: Julia como Red Social de Conocimiento || 2. Júpiter: El Cerebro del Usuario (Local-First) || 3. Los Satélites: El Mecanismo de Compartir (Broadcasting) || 3.1 Satélites Propios (Emisión) || 3.2 Satélites Ajenos (Suscripción y Seguimiento) || 4. El Grafo Visual Final: La Órbita del Usuario || Resumen del Flujo || Proyecto Julia: Un Ecosistema de Conocimiento para la Era Digital || 1. Introducción: La Visión de Julia || 2. La Filosofía Central: Continuidad Cognitiva y Empoderamiento del Usuario || 3. Origen y Motivación del Proyecto || 4. Análisis Competitivo y Posicionamiento Estratégico || 4.1. Competidores Directos e Indirectos || 4.2. La Propuesta de Valor Única de Julia || 5. Arquitectura Detallada y Funcionalidades (Features) || Proyecto Julia: Sistema Inteligente de Gestión de Conocimiento y Memoria Viva || 1. Visión General || Diferenciadores Clave || 2. Arquitectura de Funciones por Categoría || A. Ingesta y Conversión Universal || B. Interfaz y Experiencia de Usuario (UX) || C. Secciones Especializadas || 3. Estrategia de Mercado y Monetización"
"C_DEV","Master dev click switch swiss","19","75563","3","5","1","19","17","1","2026-05-06 22:55","Master dev click switch swiss\Click switch swiss\carpeta de proyectos\desarrollo 2\PULSAR_DOCUMENTATION.md | Master dev click switch swiss\docs\RESUMEN_PROYECTO_SWITCH_CLICK_SWISS.md | Master dev click switch swiss\docs\architecture.md | Master dev click switch swiss\docs\REVISION_DOCUMENTOS_DEFINITIVOS.md | Master dev click switch swiss\docs\22_Switch click swiss.md | Master dev click switch swiss\docs\IPC_CONTRACT_MVP.md | Master dev click switch swiss\SMOKE_TEST.md | Master dev click switch swiss\docs\PLAN_ESTRATEGICO_VOYAGER_2026.md","Tauri + React + Typescript || Recommended IDE Setup || MSIX Packaging scaffold || Qué falta para que genere MSIX real || Build inputs (pipeline local sugerido) || Script de release recomendado || Smoke Test — Switch Click Swiss (MVP) || 0) Modo seguro (recomendado) || 1) Arrancar el service (tray + hook + IPC) || 2) Verificar Named Pipe || 3) Arrancar la UI (Tauri) || 4) Validaciones funcionales (sin tocar el sistema) || 5) Verificar Autostart (Startup Shortcut) || Troubleshooting rápido || Switch Click Swiss || Estructura || Quick start (desarrollo) || Service || UI || IPC (ejemplos) || Revisión de documentos definitivos (Switch Click Swiss) || 1) Qué estamos construyendo (definitivo) || 2) Arquitectura target (definitiva) || 3) MVP (Tier Free) — Feature Map del PRD || 4) “Complementos / plugins”: recomendación a partir de los definitivos || 5) Repos/Dependencias (del documento GitHub Repos) || 6) Implicación inmediata para “cómo integrarlo”"
"C_DEV","nodia","70","625509","11","50","2","70","38","17","2026-05-30 15:54","nodia\nodia investigaciones\copia data nodia.md | nodia\Claude-Visualizar datos narrativos de personajes.md | nodia\docs nodia\NODIA_PRD_AAA_2026-05-15.md | nodia\NODIA_DEPLOYMENT_TRACKER.md | nodia\nodia investigaciones\decisiones finales nodia.md | nodia\NODIA_SYSTEM_PIPELINE.md | nodia\NODIA_MASTER_DEV_PROTOCOL_v2.md | nodia\nodia investigaciones\roster_definitivo_nodia.md","🤖 PRD: ASISTENTE DE IA (NODIA GUIDE) || Sistema de Co-Autoría y Diagnóstico Estructural · v1.0 || 1. Objetivo del Módulo || 2. Capacidades Funcionales || 2.1 Generación Estructural (Idea a Nodo) || 2.2 Diagnóstico Narrativo (Auditoría) || 2.3 Simulación de Punto de Vista (POV Agent) || 3. Especificaciones Técnicas (IA Local-First) || 🔍 INVESTIGACIÓN: ESTILO DE INTERFAZ IDEAL PARA NODIA || Análisis de Tendencias 2026 y Propuesta ""Spatial Neo-Zen"" || 1. El Estado del Arte en Herramientas Creativas || 2. Análisis de Estilos Comparados || 2.1 Estilo ""Linear"" (Foco y Estructura) || 2.2 Glassmorphism vs. Neo-Glass || 2.3 Spatial UI (Interfaz Espacial) || 3. Propuesta: ""Spatial Neo-Zen"" || 📦 RESUMEN DEL PROYECTO NODIA: TU TALLER DE HISTORIAS MÁGICAS || 1. ¿Qué es Nodia? || 2. ¿Cómo funciona? (La Magia de Nodia) || 3. ¿Por qué es mejor que otros programas? || 4. ¿Qué estamos construyendo ahora? || En pocas palabras: || 🎨 PRD: DISEÑO DE INTERFAZ Y EXPERIENCIA DE USUARIO (UI/UX) || Motor Nodia · Fusión ""Tablero Táctico"" y ""Neo-Glass"" · v2.0 || 1. Visión de la Interfaz: El Tablero Híbrido || 1.1 Objetivos de UX || 2. Estética Visual: ""Spatial Neo-Zen"" || 2.1 Paleta de Colores y Tonos (God-Tier 2026) || 3. Arquitectura de la Interfaz (El IDE de Nodia) || 3.1 Topbar (Control Global) || 🎨 ANÁLISIS VERTICAL DE UI/UX: MÓDULO CHATBOT NODIA (v2026) || I. ZONA SUPERIOR: INTERFAZ DE CONTEXTO (HUD) || II. ZONA CENTRAL: EL CHAT (FLUJO NARRATIVO) || III. ZONA INFERIOR: ÁREA OPERATIVA (EL COCKPIT) || Conclusión de la Estructura:"
"C_DEV","nodia-home-clone","15","108770","0","9","1","15","10","9","2026-05-26 20:44","nodia-home-clone\actualizacion\docs\NODIA_INTERFACE_STATE_OF_TRUTH.md | nodia-home-clone\actualizacion\docs\NODIA_DESIGN_SYSTEM.md | nodia-home-clone\actualizacion\docs\INFORME_INTERFAZ_POE.md | nodia-home-clone\actualizacion\docs\NODIA_PIPELINE_REPAIR_MASTER.md | nodia-home-clone\actualizacion\docs\COMPONENT_OWNERSHIP_MAP.md | nodia-home-clone\actualizacion\docs\INFORME_INTERFAZ_NODOS_ARCO.md | nodia-home-clone\actualizacion\docs\BASELINE_REPORT.md | nodia-home-clone\actualizacion\docs\MONOLITH_RISK_TABLE.md","NODIA Start Lobby — sin base64 || Archivos || Qué se eliminó || Qué se usó en lugar de imágenes || Cómo probar || Rollback || NODIA Start Lobby v3.0 — Musa Narrativa || 1. Objetivo || 2. Estado Actual (auditado en codigo) || 3. Subgeneros por Categoria (etiquetas en tarjeta) || 4. Representacion por Genero (icono + sello) || 5. Efecto Holografico || 6. Dinamica Tinder (funcional) || Entrada || Run and deploy your AI Studio app || Run Locally || POST-ROLLBACK TOPBAR STATE CHECK || 1. Dictamen || 2. Archivos inspeccionados || 3. Estado actual de UnifiedTopBar || 4. Estado actual de app/page.tsx || 5. Estado actual de AnimatedModeBar || 6. Diagnóstico || 7. Riesgo principal || NODIA PIPELINE REPAIR MASTER || 1. Resumen Ejecutivo || 2. Filosofía del Pipeline || 3. Riesgos Principales || 4. Orden General de Reparación || 5. Tabla Maestra de Fases || 6. Dependencias entre Fases || 7. Archivos de Alto Riesgo"
